Solver Type,Puzzle Type,Image Filenames,Number of Input Puzzles,Number of Output Puzzles,Diff Between Output and Expected Puzzle Count,Input Puzzle #,Input Piece Count,Standard Direct Accuracy Puzzle #,Standard Direct Accuracy Solved Puzzle Piece Count,Standard Direct Accuracy Score,Standard Direct Accuracy Different Puzzle,Standard Direct Accuracy Wrong Location,Standard Direct Accuracy Wrong Rotation,Standard Direct Accuracy Piece Missing Count,Modified Direct Accuracy Puzzle #,Modified Direct Accuracy Solved Puzzle Piece Count,Modified Direct Accuracy Score,Modified Direct Accuracy Different Puzzle,Modified Direct Accuracy Wrong Location,Modified Direct Accuracy Wrong Rotation,Modified Direct Accuracy Piece Missing Count,Modified Neighbor Accuracy Puzzle #,Modified Neighbor Accuracy Solved Puzzle Piece Count,Modified Neighbor Accuracy Score,Modified Neighbor Accuracy Missing Piece Count,Modified Neighbor Accuracy Edges from Different Puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipuzzle,2,pomeranz_805_5 | pomeranz_805_8 | pomeranz_805_18 | pomeranz_805_20,4,4,0,Input Puzzle #0,805,Solved Puzzle #3,811,0,0.007398274,0.991368681,0.001233046,0,Solved Puzzle #3,811,0.892725031,0.007398274,0.09864365,0.001233046,0,Solved Puzzle#3,829,0.914656212,0,24,Input Puzzle #1,805,Solved Puzzle #2,810,0,0.00617284,0.99382716,0,0,Solved Puzzle #2,810,0.99382716,0.00617284,0,0,0,Solved Puzzle#2,825,0.974242424,0,20,Input Puzzle #2,805,Solved Puzzle #1,805,0,0,0.913043478,0,70,Solved Puzzle #1,805,0.881987578,0,0.029813665,0.001242236,70,Solved Puzzle#1,735,0.872360248,70,0,Input Puzzle #3,805,Solved Puzzle #0,864,0,0.068287037,0.931712963,0,0,Solved Puzzle #0,864,0,0.068287037,0.931712963,0,0,Solved Puzzle#0,1041,0.759125841,0,236
paikin_tal,2,pomeranz_805_5 | pomeranz_805_8 | pomeranz_805_18 | pomeranz_805_20,4,4,0,Input Puzzle #0,805,Solved Puzzle #3,2224,0,0.638039568,0.361510791,0,1,Solved Puzzle #3,2224,0,0.638039568,0.361510791,0,1,Solved Puzzle#3,6480,0.110052461,1,5676,Input Puzzle #1,805,Solved Puzzle #3,2223,0,0.637876743,0.361673414,0.000449843,0,Solved Puzzle #3,2223,0,0.637876743,0.361673414,0.000449843,0,Solved Puzzle#3,6477,0.122626216,0,5672,Input Puzzle #2,805,Solved Puzzle #0,1110,0,0.274774775,0.520720721,0,227,Solved Puzzle #0,1110,0,0.274774775,0.520720721,0,227,Solved Puzzle#0,1798,0.238271605,227,1220,Input Puzzle #3,805,Solved Puzzle #3,2602,0,0.690622598,0.163720215,0,379,Solved Puzzle #1,822,0.03892944,0.020681265,0,0,773,Solved Puzzle#0,2620,0.088353092,501,2316
